:ID,:START_ID(Line),:END_ID(Station),:TYPE
els1,l1,s11,CONSISTS_OF
els2,l1,s163,CONSISTS_OF
els3,l1,s11,CONSISTS_OF
els4,l1,s212,CONSISTS_OF
els5,l1,s49,CONSISTS_OF
els6,l1,s87,CONSISTS_OF
els7,l1,s49,CONSISTS_OF
els8,l1,s197,CONSISTS_OF
els9,l1,s82,CONSISTS_OF
els10,l1,s163,CONSISTS_OF
els11,l1,s82,CONSISTS_OF
els12,l1,s193,CONSISTS_OF
els13,l1,s84,CONSISTS_OF
els14,l1,s148,CONSISTS_OF
els15,l1,s87,CONSISTS_OF
els16,l1,s279,CONSISTS_OF
els17,l1,s113,CONSISTS_OF
els18,l1,s246,CONSISTS_OF
els19,l1,s113,CONSISTS_OF
els20,l1,s298,CONSISTS_OF
els21,l1,s114,CONSISTS_OF
els22,l1,s140,CONSISTS_OF
els23,l1,s137,CONSISTS_OF
els24,l1,s206,CONSISTS_OF
els25,l1,s137,CONSISTS_OF
els26,l1,s298,CONSISTS_OF
els27,l1,s140,CONSISTS_OF
els28,l1,s237,CONSISTS_OF
els29,l1,s143,CONSISTS_OF
els30,l1,s159,CONSISTS_OF
els31,l1,s143,CONSISTS_OF
els32,l1,s206,CONSISTS_OF
els33,l1,s148,CONSISTS_OF
els34,l1,s279,CONSISTS_OF
els35,l1,s159,CONSISTS_OF
els36,l1,s278,CONSISTS_OF
els37,l1,s185,CONSISTS_OF
els38,l1,s237,CONSISTS_OF
els39,l1,s185,CONSISTS_OF
els40,l1,s281,CONSISTS_OF
els41,l1,s192,CONSISTS_OF
els42,l1,s197,CONSISTS_OF
els43,l1,s192,CONSISTS_OF
els44,l1,s212,CONSISTS_OF
els45,l1,s193,CONSISTS_OF
els46,l1,s278,CONSISTS_OF
els47,l1,s246,CONSISTS_OF
els48,l1,s281,CONSISTS_OF
els49,l2,s13,CONSISTS_OF
els50,l2,s156,CONSISTS_OF
els51,l2,s13,CONSISTS_OF
els52,l2,s250,CONSISTS_OF
els53,l2,s16,CONSISTS_OF
els54,l2,s91,CONSISTS_OF
els55,l2,s16,CONSISTS_OF
els56,l2,s173,CONSISTS_OF
els57,l2,s24,CONSISTS_OF
els58,l2,s156,CONSISTS_OF
els59,l2,s24,CONSISTS_OF
els60,l2,s164,CONSISTS_OF
els61,l2,s28,CONSISTS_OF
els62,l2,s162,CONSISTS_OF
els63,l2,s28,CONSISTS_OF
els64,l2,s192,CONSISTS_OF
els65,l2,s37,CONSISTS_OF
els66,l2,s158,CONSISTS_OF
els67,l2,s37,CONSISTS_OF
els68,l2,s301,CONSISTS_OF
els69,l2,s48,CONSISTS_OF
els70,l2,s126,CONSISTS_OF
els71,l2,s48,CONSISTS_OF
els72,l2,s250,CONSISTS_OF
els73,l2,s51,CONSISTS_OF
els74,l2,s103,CONSISTS_OF
els75,l2,s51,CONSISTS_OF
els76,l2,s215,CONSISTS_OF
els77,l2,s68,CONSISTS_OF
els78,l2,s158,CONSISTS_OF
els79,l2,s68,CONSISTS_OF
els80,l2,s256,CONSISTS_OF
els81,l2,s72,CONSISTS_OF
els82,l2,s286,CONSISTS_OF
els83,l2,s76,CONSISTS_OF
els84,l2,s181,CONSISTS_OF
els85,l2,s76,CONSISTS_OF
els86,l2,s296,CONSISTS_OF
