:ID,:START_ID(Station),:END_ID(Station),:TYPE
ess1,s11,s163,CONNECTS_TO
ess2,s11,s212,CONNECTS_TO
ess3,s49,s87,CONNECTS_TO
ess4,s49,s197,CONNECTS_TO
ess5,s82,s163,CONNECTS_TO
ess6,s82,s193,CONNECTS_TO
ess7,s84,s148,CONNECTS_TO
ess8,s87,s279,CONNECTS_TO
ess9,s113,s246,CONNECTS_TO
ess10,s113,s298,CONNECTS_TO
ess11,s114,s140,CONNECTS_TO
ess12,s137,s206,CONNECTS_TO
ess13,s137,s298,CONNECTS_TO
ess14,s140,s237,CONNECTS_TO
ess15,s143,s159,CONNECTS_TO
ess16,s143,s206,CONNECTS_TO
ess17,s148,s279,CONNECTS_TO
ess18,s159,s278,CONNECTS_TO
ess19,s185,s237,CONNECTS_TO
ess20,s185,s281,CONNECTS_TO
ess21,s192,s197,CONNECTS_TO
ess22,s192,s212,CONNECTS_TO
ess23,s193,s278,CONNECTS_TO
ess24,s246,s281,CONNECTS_TO
ess25,s13,s156,CONNECTS_TO
ess26,s13,s250,CONNECTS_TO
ess27,s16,s91,CONNECTS_TO
ess28,s16,s173,CONNECTS_TO
ess29,s24,s156,CONNECTS_TO
ess30,s24,s164,CONNECTS_TO
ess31,s28,s162,CONNECTS_TO
ess32,s28,s192,CONNECTS_TO
ess33,s37,s158,CONNECTS_TO
ess34,s37,s301,CONNECTS_TO
ess35,s48,s126,CONNECTS_TO
ess36,s48,s250,CONNECTS_TO
ess37,s51,s103,CONNECTS_TO
ess38,s51,s215,CONNECTS_TO
ess39,s68,s158,CONNECTS_TO
ess40,s68,s256,CONNECTS_TO
ess41,s72,s286,CONNECTS_TO
ess42,s76,s181,CONNECTS_TO
ess43,s76,s296,CONNECTS_TO
ess44,s88,s256,CONNECTS_TO
ess45,s91,s109,CONNECTS_TO
ess46,s98,s173,CONNECTS_TO
ess47,s98,s211,CONNECTS_TO
ess48,s103,s109,CONNECTS_TO
ess49,s105,s177,CONNECTS_TO
ess50,s105,s196,CONNECTS_TO
ess51,s112,s181,CONNECTS_TO
